,event_name,event_date,details,wad,wwcd,wlcd,wswd,wkowd,wrd,wlrd,wtsd,wssd,wsdd,wspd,wcpd,wgpd,wttdd,wstdd,wtddd,wssubd,wspassd,wssweepd,winner_lable,finghter1wins,fighter2wins,winner,looser,fighter1,fighter2,fighter_name,result,end_round,finish_method,fighter1_str,fighter2_str,fighter1_td,fighter2_td,fighter1_sub,fighter2_sub,fighter1_pass,fighter2_pass
425,UFC Fight Night Thompson vs Till,2018-05-27 00:00:00,Live on TSN 5,-1,-3,-5,2,-4,-3,0,-466,-269,-0.21,-0.1,0,0.12,6,-9,-0.21,2,6,-1,1,1,0,Claudio Silva,Nordine Taleb,Claudio Silva,Nordine Taleb,Claudio Silva,Win,R1,Submission,18,6,1,1,1,0,4,0
6813,UFC® 125,2011-01-01 00:00:00,RESOLUTION,-4,-1,1,2,-8,0,-2,1328,365,0.06,-0.33,0.14,0.31,169,62,0.06,14,48,0,1,1,0,Clay Guida,Takanori Gomi,Clay Guida,Takanori Gomi,Clay Guida,Win,R2,Submission,12,14,3,0,2,0,2,0
6217,UFC®,2011-11-12 00:00:00,Velasquez vs. Dos Santos,1,34,15,-4,1,0,0,183,-220,0.02,-0.04,-0.07,0.11,59,11,0.06,-3,18,0,2,0,1,Benson Henderson,Clay Guida,Clay Guida,Benson Henderson,Benson Henderson,Win,R3,Decision - Unanimous,11,40,2,2,4,0,1,3
5339,UFC,2013-01-26 00:00:00,Johnson vs. Dodson,1,34,15,6,3,0,38,1693,480,0,-0.16,0.14,0.1,140,45,0.16,9,23,-1,1,1,0,Clay Guida,Hatsu Hioki,Clay Guida,Hatsu Hioki,Clay Guida,Win,R3,Decision - Split,26,41,3,0,0,1,1,0
6580,The Ultimate Fighter®,2011-06-04 00:00:00,Team Lesnar vs. Team Dos Santos Finale,5,13,7,-6,-3,-2,-2,788,60,0.11,-0.27,0.14,0.2,151,51,0.11,-6,32,-10,1,1,0,Clay Guida,Anthony Pettis,Clay Guida,Anthony Pettis,Anthony Pettis,Loss,R3,Decision - Unanimous,19,14,5,0,0,1,4,2
389,UFC 225 Whittaker vs Romero 2,2018-06-09 00:00:00,Live on Pay-Per-View,7,10,7,-16,3,-4,-3,1377,287,0.12,-0.02,-0.09,0.11,106,35,0.1,-13,22,-2,2,0,1,Charles Oliveira,Clay Guida,Clay Guida,Charles Oliveira,Clay Guida,Loss,R1,Submission,9,14,0,0,0,1,0,0
1353,UFC Fight Night Chiesa vs Lee,2017-06-25 00:00:00,Live on TSN 5,6,19,9,3,-3,-1,-2,1605,460,0.2,-0.02,-0.09,0.11,163,58,-0.1,5,38,0,1,1,0,Clay Guida,Erik Koch,Clay Guida,Erik Koch,Erik Koch,Loss,R3,Decision - Unanimous,38,13,2,0,0,0,4,0
8154,UFC® Fight Night™,2008-09-17 00:00:00,Diaz vs Neer,-2,34,15,3,1,0,38,1285,240,0.09,-0.14,-0.06,0.19,141,51,0.24,8,31,-2,1,1,0,Clay Guida,Mac Danzig,Clay Guida,Mac Danzig,Clay Guida,Win,R3,Decision - Unanimous,43,36,10,1,0,0,3,0
4042,UFC Fight Night Lawler vs. Brown,2014-07-26 00:00:00,Sportsnet 360,5,17,6,2,1,4,0,512,-75,0.07,0.01,-0.05,0.04,55,17,-0.13,2,20,-2,2,0,1,Dennis Bermudez,Clay Guida,Clay Guida,Dennis Bermudez,Dennis Bermudez,Win,R2,Submission,28,47,0,2,0,1,0,2
4395,UFC Fight Night Nogueira vs. Nelson,2014-04-11 00:00:00,UFC Fight Pass,-4,34,15,-1,-1,1,-1,1980,596,0.15,0.04,0.14,-0.11,115,45,0.06,12,34,-1,1,1,0,Clay Guida,Tatsuya Kawajiri,Clay Guida,Tatsuya Kawajiri,Tatsuya Kawajiri,Loss,R3,Decision - Unanimous,47,19,3,1,0,1,1,0
7128,UFC® 117,2010-08-07 00:00:00,SILVA vs SONNEN,2,6,5,0,-5,0,0,-362,-452,0.02,-0.12,-0.04,0.16,62,18,0.05,0,12,0,1,1,0,Clay Guida,Rafael Dos Anjos,Clay Guida,Rafael Dos Anjos,Rafael Dos Anjos,Loss,R3,Submission,19,17,2,1,0,0,3,0
7980,UFC® 94,2009-01-31 00:00:00,ST-PIERRE VS PENN 2,3,14,4,-12,-2,-6,0,-694,-579,0.11,-0.14,-0.09,0.31,100,41,0.24,-13,28,-6,1,1,0,Clay Guida,Nate Diaz,Clay Guida,Nate Diaz,Clay Guida,Win,R3,Decision - Split,49,49,4,0,1,0,2,0
6355,UFC® Fight Night™ Live,2011-09-17 00:00:00,SHIELDS vs. ELLENBERGER,1,0,0,-4,-2,-74,0,-826,-235,0.08,-0.16,0.14,0.03,-35,-5,0.2,-3,-2,1,2,0,1,Seth Baczynski,Clay Harvison,Clay Harvison,Seth Baczynski,Clay Harvison,Loss,R2,Submission,12,41,0,0,0,1,0,2
6577,The Ultimate Fighter®,2011-06-04 00:00:00,Team Lesnar vs. Team Dos Santos Finale,3,0,0,-2,0,-70,0,-335,-132,0.08,-0.04,-0.01,0.15,-40,-10,0.41,-3,-5,1,1,1,0,Clay Harvison,Justin  Edwards,Clay Harvison,Justin  Edwards,Clay Harvison,Win,R3,Decision - Split,57,42,1,7,2,0,2,5
4540,UFC 169 Live on Pay-Per-View,2014-02-01 00:00:00,Barao vs. Faber,4,0,0,0,2,-1,0,97,136,-0.01,-0.21,0,0.14,13,5,0.02,0,6,2,1,1,0,Clint Hester,Andy Enz,Clint Hester,Andy Enz,Clint Hester,Win,R3,Decision - Unanimous,72,69,2,0,0,0,2,0
4168,UFC Fight Night Swanson vs. Stephens,2014-06-28 00:00:00,Sportsnet 360,0,-9,-3,-2,2,0,0,459,208,0.12,0.14,0,-0.16,-2,-1,0.6,-1,-4,1,1,1,0,Clint Hester,Antonio Braga Neto,Clint Hester,Antonio Braga Neto,Clint Hester,Win,R3,Decision - Split,40,16,1,3,0,0,0,7
4934,UFC,2013-08-17 00:00:00,Shogun vs. Sonnen Live on SN 360:Live from Boston,2,-22,-11,-7,-11,-6,-45,-846,-341,0.01,-0.16,0.25,-0.14,-27,-8,-0.66,-3,-11,-1,2,0,1,Ovince Saint Preux,Cody Donovan,Cody Donovan,Ovince Saint Preux,Cody Donovan,Loss,R1,KO/TKO,10,6,0,0,0,0,0,0
4057,UFC Fight Night McGregor vs. Brandao,2014-07-19 00:00:00,UFC Fight Pass,11,-24,-6,-5,-4,-3,-44,-289,-170,0.01,0.17,-0.06,-0.17,0,0,-0.4,-4,-3,-3,2,0,1,Nikita Krylov,Cody Donovan,Cody Donovan,Nikita Krylov,Cody Donovan,Loss,R1,KO/TKO,21,42,1,0,2,0,2,2
4705,UFC 167 Live on Pay-Per-View,2013-11-16 00:00:00,St-Pierre vs. Hendricks,4,-17,-10,0,-8,-2,-43,-1565,-631,-0.1,-0.31,0.36,0,-15,-3,-0.83,2,-1,0,2,0,1,Gian Villante,Cody Donovan,Cody Donovan,Gian Villante,Gian Villante,Win,R2,KO/TKO,51,43,0,1,0,0,0,1
2016,UFC Fight Night Lineker vs Dodson,2016-10-01 00:00:00,Live on TSN 2,3,-10,-1,0,-4,-6,-5,-490,-258,-0.16,0.43,-0.01,-0.47,-54,-30,-0.08,0,-22,0,2,0,1,Curtis Blaydes,Cody East,Cody East,Curtis Blaydes,Curtis Blaydes,Win,R2,KO/TKO,21,52,3,5,0,0,0,3
2587,UFC Fight Night Cowboy vs. Cowboy,2016-02-21 00:00:00,Live on TSN 2,-8,5,0,0,8,0,2,461,177,0.1,0.13,-0.2,0,3,1,0.2,0,2,-1,1,1,0,Cody Garbrandt,Augusto Mendes,Cody Garbrandt,Augusto Mendes,Cody Garbrandt,Win,R1,KO/TKO,11,11,0,0,0,0,0,0
2128,UFC 202 Diaz vs McGregor 2,2016-08-20 00:00:00,Live on Pay-Per-View,-7,11,2,0,7,-3,0,-1444,-537,0.08,0.25,-0.2,-0.15,-25,-18,0.3,-1,-12,-1,1,1,0,Cody Garbrandt,Takeya Mizugaki,Cody Garbrandt,Takeya Mizugaki,Cody Garbrandt,Win,R1,KO/TKO,12,4,0,0,0,0,0,0
3143,UFC 189 Mendes vs. McGregor,2015-07-11 00:00:00,Live on Pay-Per-View,-11,-8,-6,-2,8,-4,0,282,82,0.13,0.06,-0.11,0,14,5,0.48,-2,2,0,1,1,0,Cody Garbrandt,Henry Briones,Cody Garbrandt,Henry Briones,Cody Garbrandt,Win,R3,Decision - Unanimous,64,35,3,0,0,0,3,0
971,UFC 217 Bisping vs St-Pierre,2017-11-04 00:00:00,Live on Pay-Per-View,-5,-6,-1,-2,-6,-2,0,-1736,-744,0,0.19,0,-0.19,-41,-16,0.14,-12,-25,0,2,0,1,TJ Dillashaw,Cody Garbrandt,Cody Garbrandt,TJ Dillashaw,TJ Dillashaw,Title,R2,KO/TKO,18,20,0,0,0,0,0,0
4483,UFC 170 Rousey vs. McMann,2014-02-22 00:00:00,Live on Pay-Per-View,2,-15,-3,-6,0,0,-39,-740,-426,-0.05,0.1,0.11,-0.27,-44,-16,0.06,-8,-15,-1,2,0,1,Aljamain Sterling,Cody Gibson,Cody Gibson,Aljamain Sterling,Aljamain Sterling,Win,R3,Decision - Unanimous,18,46,4,3,1,3,0,2
6773,UFC® Fight Night™,2011-01-22 00:00:00,Fight for the Troops 2,-12,0,0,0,-9,-1,0,-1215,-567,0,0.06,-0.09,0.03,20,2,-0.55,-1,-17,-1,2,0,1,Yves Edwards,Cody McKenzie,Cody McKenzie,Yves Edwards,Yves Edwards,Win,R2,Submission,16,33,2,0,0,1,2,3
5865,UFC,2012-05-15 00:00:00,Korean Zombie vs. Poirier,-6,0,0,4,0,72,0,167,25,0.29,0.48,-0.58,0.16,17,2,-0.69,8,5,3,1,1,0,Cody McKenzie,Marcus LeVesseur,Cody McKenzie,Marcus LeVesseur,Cody McKenzie,Win,R1,Submission,1,7,0,2,2,1,0,2
1304,UFC 213 Nunes vs Shevchenko,2017-07-08 00:00:00,Live on Pay-Per-View,-3,0,-6,0,0,-7,-4,-204,26,0.12,-0.22,0.19,0.15,12,13,0.43,0,7,0,1,1,0,Cody Stamann,Terrion Ware,Cody Stamann,Terrion Ware,Cody Stamann,Win,R3,Decision - Unanimous,94,60,8,0,0,0,6,0
2315,UFC Fight Night MacDonald vs. Thompson,2016-06-18 00:00:00,Live on TSN 5,-1,6,0,4,4,-3,-2,893,327,-0.12,0.01,-0.06,0.05,91,47,0.19,2,39,0,1,1,0,Colby Covington,Jonathan Meunier,Colby Covington,Jonathan Meunier,Colby Covington,Win,R3,Submission,19,16,5,0,1,0,6,0
2126,UFC 202 Diaz vs McGregor 2,2016-08-20 00:00:00,Live on Pay-Per-View,-2,0,-4,4,2,-4,0,606,216,0.03,-0.06,0.12,0.02,90,47,0.2,1,40,-1,1,1,0,Colby Covington,Max Griffin,Colby Covington,Max Griffin,Max Griffin,Loss,R3,KO/TKO,26,13,6,0,0,1,12,0
6771,UFC® Fight Night™,2011-01-22 00:00:00,Fight for the Troops 2,-1,-16,-7,6,-2,6,41,770,82,0.04,0.37,-0.14,-0.32,-41,-16,-0.25,6,5,4,2,0,1,Matt Wiman,Cole Miller,Cole Miller,Matt Wiman,Matt Wiman,Win,R3,Decision - Unanimous,22,76,0,1,0,1,0,1
1774,UFC Fight Night VanZant vs Waterson,2016-12-17 00:00:00,Live on TSN 4 & 5,-3,-19,-9,11,1,7,1,944,257,0.06,-0.05,0.12,0,2,-1,-0.22,24,21,9,2,0,1,Mizuto Hirota,Cole Miller,Cole Miller,Mizuto Hirota,Mizuto Hirota,Win,R3,Decision - Unanimous,21,57,0,6,0,0,0,6
8525,UFC® Fight Night™,2007-09-19 00:00:00,THOMAS vs FLORIAN,-5,0,0,10,-1,74,41,-418,53,0.06,-0.05,0.12,0,7,4,-0.03,17,21,4,1,1,0,Cole Miller,Leonard Garcia,Cole Miller,Leonard Garcia,Leonard Garcia,Loss,R3,Decision - Unanimous,21,16,1,0,10,0,11,0
8239,UFC® 86,2008-07-05 00:00:00,JACKSON vs GRIFFIN,-7,0,0,11,1,74,41,1816,605,0.59,0.79,0.12,0,22,8,0.39,24,28,9,1,1,0,Cole Miller,Jorge Gurgel,Cole Miller,Jorge Gurgel,Cole Miller,Win,R3,Submission,41,54,1,3,2,0,2,1
7054,UFC® Fight Night™,2010-09-15 00:00:00,:MARQUARDT vs PALHARES,0,-22,-14,11,-7,5,2,-926,-497,-0.04,-0.03,-0.04,0,-19,-7,-0.37,24,25,8,1,1,0,Cole Miller,Ross Pearson,Cole Miller,Ross Pearson,Ross Pearson,Loss,R2,Submission,24,26,1,0,1,0,1,0
2357,UFC 199 Rockhold vs. Bisping 2,2016-06-04 00:00:00,Live on Pay-Per-View,4,-14,-11,7,1,1,0,-54,-315,-0.05,-0.06,0.12,0,10,-1,-0.21,11,7,-1,2,0,1,Alex Caceres,Cole Miller,Cole Miller,Alex Caceres,Alex Caceres,Win,R3,Decision - Unanimous,33,97,3,5,1,0,4,4
2545,UFC 196 McGregor vs. Diaz,2016-03-05 00:00:00,Live on Pay-Per-View,-3,1,-7,-18,9,-2,2,-1891,-787,0,0.1,-0.23,0,-65,-17,0.24,-27,-15,-6,2,0,1,Nate Diaz,Conor McGregor,Conor McGregor,Nate Diaz,Conor McGregor,Loss,R2,Submission,61,77,0,1,0,2,0,1
3584,UFC Fight Night McGregor vs. Siver,2015-01-18 00:00:00,TSN 2,-9,-2,-7,-3,9,4,2,-1604,-345,-0.1,-0.06,0,0,-32,-8,0.05,-5,-24,-4,1,1,0,Conor McGregor,Dennis Siver,Conor McGregor,Dennis Siver,Dennis Siver,Loss,R2,KO/TKO,64,32,0,0,0,0,1,0
4945,UFC,2013-08-17 00:00:00,Shogun vs. Sonnen Live on SN 360:Live from Boston,4,2,1,-4,-2,5,-2,-1966,-813,-0.1,0.02,-0.12,-0.11,3,1,-0.13,-7,-10,1,1,1,0,Conor McGregor,Max Holloway,Conor McGregor,Max Holloway,Conor McGregor,Win,R3,Decision - Unanimous,53,23,4,0,0,0,6,0
4070,UFC Fight Night McGregor vs. Brandao,2014-07-19 00:00:00,UFC Fight Pass,-1,21,4,-4,12,6,2,588,291,-0.07,0.09,-0.11,-0.19,-17,-12,-0.11,-3,-5,1,1,1,0,Conor McGregor,Diego Brandao,Conor McGregor,Diego Brandao,Diego Brandao,Loss,R1,KO/TKO,18,9,1,0,0,1,1,0
3697,UFC 181 Hendricks vs. Lawler II,2014-12-06 00:00:00,Live on Pay-Per-View,-9,3,2,0,4,79,44,1230,597,0.14,0.08,-0.27,0.27,87,50,0.29,-1,34,0,1,1,0,Corey Anderson,Justin Jones,Corey Anderson,Justin Jones,Corey Anderson,Win,R3,Decision - Unanimous,45,28,7,0,0,1,3,0
2533,UFC 196 McGregor vs. Diaz,2016-03-05 00:00:00,Live on Pay-Per-View,-6,2,-2,-4,0,5,3,796,404,-0.02,0.08,-0.16,0.08,50,36,0.17,-9,28,0,1,1,0,Corey Anderson,Tom Lawlor,Corey Anderson,Tom Lawlor,Corey Anderson,Win,R3,Decision - Unanimous,55,31,1,1,0,0,1,0
3381,UFC Fight Night Machida vs. Rockhold,2015-04-18 00:00:00,CTV TWO,-4,-5,-6,0,-6,3,1,-365,-84,0.03,-0.32,0.16,0.27,78,47,-0.08,0,30,0,2,0,1,Gian Villante,Corey Anderson,Corey Anderson,Gian Villante,Corey Anderson,Loss,R3,KO/TKO,111,70,0,0,0,0,0,0
504,UFC Fight Night Barboza vs Lee,2018-04-21 00:00:00,Live on TSN 5,-8,2,-2,0,-1,3,1,423,172,0.04,0.14,-0.01,-0.13,17,18,0.46,-1,14,0,1,1,0,Corey Anderson,Patrick Cummins,Corey Anderson,Patrick Cummins,Corey Anderson,Win,R3,Decision - Unanimous,64,31,12,0,0,0,6,0
163,UFC Fight Night Gaethje vs Vick,2018-08-25 00:00:00,Live on TSN 5,-2,0,0,2,2,3,-38,188,-86,-0.11,0,-0.11,0.14,5,0,-0.5,4,5,1,1,1,0,Cortney Casey,Angela Hill,Cortney Casey,Angela Hill,Angela Hill,Loss,R3,Decision - Split,111,121,1,1,0,0,1,0
2282,The Ultimate Fighter Finale Team Joanna vs. Team Claudia,2016-07-08 00:00:00,TSN 5,-3,-8,-5,0,0,-74,0,-67,-54,-0.12,0.16,-0.01,-0.15,-3,0,0.12,-2,-5,0,2,0,1,Joshua Stansbury,Cory Hendricks,Cory Hendricks,Joshua Stansbury,Cory Hendricks,Loss,R3,Decision - Majority,47,61,0,0,0,0,0,5
161,UFC Fight Night Gaethje vs Vick,2018-08-25 00:00:00,Live on TSN 5,-12,-26,-9,-4,-4,-1,0,-797,-337,0.15,-0.28,0.14,0.23,-26,-16,-0.6,-10,-36,0,1,1,0,Cory Sandhagen,Iuri Alcantara,Cory Sandhagen,Iuri Alcantara,Iuri Alcantara,Loss,R2,KO/TKO,66,9,0,1,0,2,2,0
2164,UFC Fight Night Rodriguez vs Caceres,2016-08-06 00:00:00,Live on TSN 5,3,6,-2,4,-2,1,1,2180,754,0.13,0.4,-0.35,-0.13,71,14,-0.13,6,18,1,1,1,0,Court McGee,Dominique Steele,Court McGee,Dominique Steele,Dominique Steele,Loss,R3,Decision - Unanimous,15,23,4,0,1,0,2,0
6970,UFC® 121,2010-10-23 00:00:00,LESNAR vs VELASQUEZ,-8,20,7,1,0,75,41,2218,793,0.04,0.25,0,-0.25,93,21,0.32,1,18,-1,1,1,0,Court McGee,Ryan Jensen,Court McGee,Ryan Jensen,Court McGee,Win,R3,Submission,60,36,2,1,1,0,2,1
7215,The Ultimate Fighter® FINALE,2010-06-19 00:00:00,Team Liddell vs Team Ortiz,-4,20,7,4,0,75,41,2312,823,0.08,0.39,-0.36,-0.1,92,20,0.25,6,15,0,1,1,0,Court McGee,Kris McCray,Court McGee,Kris McCray,Court McGee,Title,R2,Submission,22,19,5,0,1,0,5,0
4638,UFC Fight Night Live on Sportsnet 360,2013-12-14 00:00:00,Johnson vs. Benavidez 2,-2,7,4,4,0,1,-1,1402,466,0,0.17,-0.18,-0.07,54,4,0.04,4,-4,-4,2,0,1,Ryan LaFlare,Court McGee,Court McGee,Ryan LaFlare,Court McGee,Loss,R3,Decision - Unanimous,54,68,4,4,2,1,1,1
4915,UFC,2013-08-28 00:00:00,Condit vs. Kampmann 2 Condit vs. Kampmann 2:Live from Indianapolis,6,-1,3,4,-10,2,-2,565,119,0.02,0,0,0.11,94,21,-0.21,6,11,1,1,1,0,Court McGee,Robert Whittaker,Court McGee,Robert Whittaker,Court McGee,Win,R3,Decision - Split,88,48,1,0,0,0,0,0
1731,UFC Fight Night Rodriguez vs Penn,2017-01-15 00:00:00,Live on TSN 5,-2,-2,-4,-1,-6,-2,-4,1611,465,0.12,0.23,-0.33,0.11,96,23,-0.06,-3,16,1,2,0,1,Ben Saunders,Court McGee,Court McGee,Ben Saunders,Court McGee,Loss,R3,Decision - Unanimous,54,49,1,0,0,0,2,0
5274,UFC 157,2013-02-23 00:00:00,Rousey vs. Carmouche,-2,20,7,-2,0,75,41,1407,420,0.04,0.35,-0.29,-0.13,77,15,0.17,-7,16,-1,1,1,0,Court McGee,Josh Neer,Court McGee,Josh Neer,Josh Neer,Loss,R3,Decision - Unanimous,166,63,2,0,0,0,2,0
2734,UFC 194 Aldo vs McGregor,2015-12-12 00:00:00,Live on Pay-Per-View,4,20,7,3,0,0,41,2317,826,0.21,0.07,-0.13,-0.01,96,24,-0.04,5,21,1,1,1,0,Court McGee,Marcio  Alexandre,Court McGee,Marcio  Alexandre,Court McGee,Win,R3,Decision - Unanimous,58,23,2,0,0,1,0,0
951,UFC Fight Night Poirier vs Pettis,2017-11-11 00:00:00,Live on TSN 5,6,0,4,2,-4,-1,0,984,369,-0.02,0.04,0,-0.04,82,14,-0.19,2,11,1,2,0,1,Sean Strickland,Court McGee,Court McGee,Sean Strickland,Sean Strickland,Win,R3,Decision - Unanimous,62,78,0,3,0,1,0,3
2027,UFC Fight Night Cyborg vs Lansberg,2016-09-24 00:00:00,Live on TSN 5,-3,12,-2,0,13,3,0,183,117,0.24,0.24,-0.37,0.16,-5,1,0.58,-1,5,0,1,1,0,Cris Cyborg,Lina Lansberg,Cris Cyborg,Lina Lansberg,Lina Lansberg,Loss,R2,KO/TKO,84,14,2,0,0,0,4,0
1206,UFC 214 Cormier vs Jones 2,2017-07-29 00:00:00,Live on Pay-Per-View,-4,1,-6,0,13,-2,39,475,294,0.28,-0.12,-0.04,0.16,-1,2,0.62,0,5,0,1,1,0,Cris Cyborg,Tonya Evinger,Cris Cyborg,Tonya Evinger,Tonya Evinger,Loss,R3,KO/TKO,74,32,0,1,0,0,0,0
773,UFC 219 Cyborg vs Holm,2017-12-30 00:00:00,Live on Pay-Per-View,-4,8,-3,0,9,-1,1,-751,-118,0.12,-0.19,0.08,0.16,-15,-3,0.13,-1,-4,0,1,1,0,Cris Cyborg,Holly Holm,Cris Cyborg,Holly Holm,Cris Cyborg,Title,R5,Decision - Unanimous,118,44,0,0,0,0,0,0
2397,UFC 198 Werdum vs. Miocic,2016-05-14 00:00:00,Live on Pay-Per-View,-3,10,-6,0,9,2,0,-607,-142,0.19,-0.1,-0.04,0.16,-1,3,0.28,0,5,0,1,1,0,Cris Cyborg,Leslie Smith,Cris Cyborg,Leslie Smith,Leslie Smith,Loss,R1,KO/TKO,26,2,0,0,0,0,1,0
586,UFC 222 Cyborg vs Kunitskaya,2018-03-03 00:00:00,Live on Pay-Per-View,4,9,-3,0,13,0,-1,454,258,0.28,0.17,-0.2,0.03,-8,-3,0.91,-1,2,0,1,1,0,Cris Cyborg,Yana Kunitskaya,Cris Cyborg,Yana Kunitskaya,Yana Kunitskaya,Loss,R1,KO/TKO,33,5,1,1,0,0,0,1
5531,UFC® 153,2012-10-13 00:00:00,Silva vs. Bonnar,0,-14,-6,-4,-2,0,-42,21,-56,-0.09,0.26,-0.21,-0.15,-39,-17,-0.69,-2,-8,0,1,1,0,Cristiano Marcello,Reza Madadi,Cristiano Marcello,Reza Madadi,Cristiano Marcello,Win,R3,Decision - Split,72,77,0,3,0,0,0,0
4508,UFC Fight Night Live on Sportsnet 360,2014-02-15 00:00:00,Machida vs. Mousasi,7,-11,-5,-2,-4,0,-39,-101,-52,-0.02,0.07,-0.14,0,17,2,-0.5,-7,0,0,2,0,1,Joe Proctor,Cristiano Marcello,Cristiano Marcello,Joe Proctor,Joe Proctor,Win,R3,Decision - Unanimous,26,67,1,0,1,1,1,0
5017,UFC 162 Live from Las Vegas,2013-07-06 00:00:00,Silva vs. Weidman,-4,2,-2,-1,3,0,0,-225,356,-0.03,-0.07,0,0.12,4,10,-0.05,5,-10,-1,1,1,0,Cub Swanson,Dennis Siver,Cub Swanson,Dennis Siver,Cub Swanson,Win,R3,KO/TKO,43,26,1,1,0,0,1,2
3379,UFC Fight Night Machida vs. Rockhold,2015-04-18 00:00:00,CTV TWO,9,6,6,-2,-8,1,-4,-587,-112,-0.03,0.01,-0.12,0.01,39,19,-0.23,3,4,4,2,0,1,Max Holloway,Cub Swanson,Cub Swanson,Max Holloway,Cub Swanson,Loss,R3,Submission,56,82,0,0,0,3,0,2
2463,UFC Fight Night Teixeira vs. Evans,2016-04-16 00:00:00,Live on CTV TWO,1,2,3,2,8,1,-2,1858,976,0.07,-0.02,0,0.01,-7,3,-0.17,6,6,4,1,1,0,Cub Swanson,Hacran Dias,Cub Swanson,Hacran Dias,Cub Swanson,Win,R3,Decision - Unanimous,83,55,0,0,0,0,1,0
7092,WEC 50,2010-08-18 00:00:00,Cruz vs. Benavidez,2,7,5,0,-4,4,1,1594,799,-0.07,0.16,0,-0.2,-33,-19,-0.4,7,8,3,2,0,1,Chad Mendes,Cub Swanson,Cub Swanson,Chad Mendes,Chad Mendes,Win,R3,Decision - Unanimous,27,17,0,8,0,0,0,4
4166,UFC Fight Night Swanson vs. Stephens,2014-06-28 00:00:00,Sportsnet 360,3,-3,-6,2,-6,-1,0,-243,139,0.02,0.06,0,-0.05,-30,-4,-0.05,0,13,-3,1,1,0,Cub Swanson,Jeremy Stephens,Cub Swanson,Jeremy Stephens,Jeremy Stephens,Loss,R5,Decision - Unanimous,87,65,0,2,0,0,0,0
202,UFC 227 Dillashaw vs Garbrandt 2,2018-08-04 00:00:00,Live on Pay-Per-View,6,13,8,-2,8,-2,-4,1592,821,-0.07,-0.17,0,0.12,33,17,-0.17,8,13,4,2,0,1,Renato Moicano,Cub Swanson,Cub Swanson,Renato Moicano,Renato Moicano,Win,R1,Submission,20,17,0,1,0,1,0,4
1493,UFC Fight Night Swanson vs Lobov,2017-04-22 00:00:00,Live on TSN 5,3,11,-6,2,8,5,0,1476,820,0.11,-0.16,0,0.12,32,20,0.08,10,20,4,1,1,0,Cub Swanson,Artem Lobov,Cub Swanson,Artem Lobov,Cub Swanson,Win,R5,Decision - Unanimous,209,123,2,2,0,0,4,0
5599,UFC® 152 Live on Pay-Per-View,2012-09-22 00:00:00,Jones vs. Belfort,6,1,1,-20,8,-4,-3,1559,780,0.08,0.21,-0.23,-0.08,-23,-5,0,-17,-7,1,1,1,0,Cub Swanson,Charles Oliveira,Cub Swanson,Charles Oliveira,Cub Swanson,Win,R1,KO/TKO,9,6,0,1,0,0,0,0
6216,UFC®,2011-11-12 00:00:00,Velasquez vs. Dos Santos,-1,7,2,-4,2,-1,-1,1195,670,0.03,0.14,-0.21,-0.03,-25,2,0.13,-5,6,-3,2,0,1,Ricardo Lamas,Cub Swanson,Cub Swanson,Ricardo Lamas,Ricardo Lamas,Win,R2,Submission,17,9,1,2,1,1,1,1
1784,UFC 206 Holloway vs Pettis,2016-12-10 00:00:00,Live on Pay-Per-View,8,11,7,2,2,0,-1,2166,1072,0.08,0.03,-0.16,0.12,39,22,0.1,10,22,4,1,1,0,Cub Swanson,Dooho Choi,Cub Swanson,Dooho Choi,Dooho Choi,Loss,R3,Decision - Unanimous,111,77,2,1,0,0,1,0
5297,UFC London Interim Bantamweight Title Fight,2013-02-16 00:00:00,Barao vs. McDonald,6,1,4,-4,-9,-2,-2,151,79,0.06,0.06,-0.18,0.12,-14,-1,-0.09,-8,7,0,1,1,0,Cub Swanson,Dustin Poirier,Cub Swanson,Dustin Poirier,Dustin Poirier,Loss,R3,Decision - Unanimous,58,58,2,2,0,0,3,0
821,UFC Fight Night Swanson vs Ortega,2017-12-09 00:00:00,Live on TSN 5,8,11,9,-4,2,1,-1,1681,976,0.05,-0.08,0,0.12,37,22,0.02,2,18,3,2,0,1,Brian Ortega,Cub Swanson,Cub Swanson,Brian Ortega,Brian Ortega,Win,R2,Submission,60,24,0,0,0,2,0,0
2163,UFC Fight Night Rodriguez vs Caceres,2016-08-06 00:00:00,Live on TSN 5,-5,25,9,-5,4,1,-1,2162,1089,0.11,0.27,0,-0.3,-14,5,-0.04,8,5,2,1,1,0,Cub Swanson,Tatsuya Kawajiri,Cub Swanson,Tatsuya Kawajiri,Cub Swanson,Win,R3,Decision - Unanimous,67,23,1,3,1,0,3,3
5722,UFC® 148,2012-07-07 00:00:00,Silva vs. Sonnen II,8,0,0,0,-5,-71,-41,-1058,-529,0.18,0.32,-0.2,-0.18,-48,-8,0.45,-4,-17,-4,1,1,0,Cung Le,Patrick Cote,Cung Le,Patrick Cote,Patrick Cote,Loss,R3,Decision - Unanimous,55,51,2,0,0,0,1,0
291,UFC 226 Miocic vs Cormier,2018-07-07 00:00:00,Live on Pay-Per-View,-2,2,-2,0,0,0,4,-265,-116,0.07,0.14,0,-0.15,-3,0,-0.01,-1,-1,-1,1,1,0,Curtis Millender,Max Griffin,Curtis Millender,Max Griffin,Max Griffin,Loss,R3,Decision - Unanimous,38,44,1,1,0,0,0,1
